"medicine_name","category","rxcui","source"
"3,7-dimethyloct-6-en-3-ol","RxNav Ingredient","2671293","RxNav"
"3,7-dimethyloctanal","RxNav Ingredient","1311602","RxNav"
"3,7-dimethyloctane-1,7-diol","RxNav Ingredient","1313707","RxNav"
"3-((3-chlorophenyl)(4-(methylsulfonyl)phenyl)methylene)dihydro-2(3h)-furanone, (3z)-","RxNav Ingredient","2099767","RxNav"
"3-((l-menthyl)oxy)propane-1,2-diol","RxNav Ingredient","1314260","RxNav"
"3-(2-dodecen-1-yl)dihydro-2,5-furandione, (2e)-","RxNav Ingredient","2359261","RxNav"
"3-(3,4-methylenedioxyphenyl)-2-methylpropanal","RxNav Ingredient","1376341","RxNav"
"3-(3-methyl-2-thienyl)acrylic acid","RxNav Ingredient","2475074","RxNav"
"3-(l-menthoxy)-2-methylpropane-1,2-diol","RxNav Ingredient","1944955","RxNav"
"3-(nonyloxy)1,2-propanediol","RxNav Ingredient","2391136","RxNav"
"3-(p-methoxyphenyl)propylene-1,2-oxide","RxNav Ingredient","2370138","RxNav"
"3-(triethoxysilyl)propylamine","RxNav Ingredient","1425088","RxNav"
"3-aminophenol","RxNav Ingredient","1435285","RxNav"
"3-bromocamphor, (+-)-","RxNav Ingredient","1373218","RxNav"
"3-carene","RxNav Ingredient","2395760","RxNav"
"3-chloro-2-hydroxypropylcocoalkyldimethylammonium chloride","RxNav Ingredient","2396890","RxNav"
"3-dimethylaminopropylamine","RxNav Ingredient","1661327","RxNav"
"3-ethyl-3-oxetanemethanol","RxNav Ingredient","2285402","RxNav"
"3-hexen-1-ol, (3z)-","RxNav Ingredient","1807112","RxNav"
"3-hexenyl acetate, (3z)-","RxNav Ingredient","1426376","RxNav"
"3-hexenyl butyrate, (3z)-","RxNav Ingredient","2000996","RxNav"
"3-hexenyl hexanoate, (3z)-","RxNav Ingredient","2000995","RxNav"
"3-hexenyl salicylate, cis-","RxNav Ingredient","2359262","RxNav"
"3-hexyloxypropylene glycol","RxNav Ingredient","2059295","RxNav"
"3-hydroxy-4-methoxybenzenesulfonate","RxNav Ingredient","1370572","RxNav"
"3-iodo-1-propanol","RxNav Ingredient","1435281","RxNav"
"3-iodo-2-propynol","RxNav Ingredient","2465830","RxNav"
"3-iodo-2-propynylbutylcarbamate","RxNav Ingredient","1426467","RxNav"
